,fold,predictors,combination,e,md,mcw,mds,g,subsample
0,2,1.0,pet,0.1379437973874393,5.0,8.619667404720964,9.997385009389111,9.345112326325337,0.8446476617801522
1,2,2.0,tcq-ndviw,0.1477117964034836,4.0,10.0,8.72840642431562,9.99449234201737,0.819362463185733
2,2,3.0,tcq-bgr-ndviw,0.1609954822724294,4.0,7.5400241671972,9.269890866413542,9.698648250409216,0.8322264154900162
3,2,4.0,twq-tcov-ts-wavai,0.0876783254255427,6.0,2.9348853024667307,5.92410470545897,5.1038585930677325,0.7759575326944216
4,2,5.0,yp-pet-tcov-bgr-ts,0.0901103528129615,6.0,6.290970941502231,4.931632456975638,1.9920892107856,0.7645698766673382
5,2,6.0,twq-pwm-pet-tcov-bgr-ts,0.0628894017723712,6.0,5.533881292307358,10.0,0.1116125405900642,0.7348412681657096
6,2,7.0,twq-pwm-ai-tcov-bgr-ts-ndviw,0.1065008248545106,6.0,7.045480589139989,7.271379710565845,0.7342097681225068,0.7371326269922603
7,2,8.0,twq-pwm-pet-ai-tcov-bgr-ts-ndviw,0.0506174138869364,6.0,4.946143050471667,8.01708134459139,0.0,0.8005338369882468
8,2,9.0,twq-pwm-pet-ai-tcov-bgr-ts-ndvism-ndviw,0.1762571986125612,6.0,4.186991957998217,6.041691867893421,2.239921288680712,0.7194236854739471
9,2,12.0,tdq-twq-pwm-pet-ai-bgr-ts-ndvism-ndvif-ndviw-ndvisp-wavai,0.0717545044859743,6.0,8.117247330461616,9.46064056517628,2.431222150680168,0.6032753227586736
10,7,1.0,pet,0.2219032238984763,4.0,2.9109929549298945,0.3217558379031409,9.75815307269892,0.7793900303097309
11,7,2.0,tcq-ndviw,0.1385880006207186,4.0,4.013219063680761,0.5783005508934551,9.104382780578469,0.7996785202414648
12,7,3.0,twq-ts-ndviw,0.2241848904903708,6.0,4.189662073257503,3.802132392538502,10.0,0.8561549975632652
13,7,4.0,yt-tcov-bgr-ts,0.1653808121571008,6.0,1.2629728063186998,2.770126077996289,8.467228725373788,0.96058540633857
14,7,5.0,pwm-pet-tcov-bgr-ts,0.0541074838105336,6.0,9.75426225395264,1.8652749875331187,1.3140782117871828,0.9146292388998424
15,7,6.0,pwm-pet-tcov-bgr-ts-ndviw,0.0847588981509778,6.0,10.0,3.0975783655123736,2.1358013758855146,0.9279788441815556
