evolution$generation,evolution$evaluated,yt,tdq,twq,tcq,yp,pwm,pet,ai,tcov,bgr,ts,ps,ndvism,ndvif,ndvisp,ndviw,wavai,e,md,mcw,mds,g,subsample,objective$npredictors,objective$error,evolution$samples,error,npredictors
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778029573323807,4.0,9.645920132113991,3.1015947006960856,10.0,0.9134914333193325,2.0,1.2325154562398501,39,"[1.2226922975559336,1.2330094139406993,1.241832890207321,1.230667367807277,1.2442978459238943,1.234193946394407,1.2346459696935574,1.2291366012369185,1.230496491990161,1.2299761204766309,1.2317141867936612,1.2340258542683258,1.2309351528440202,1.2257030154362698,1.2323836842643818,1.2390788110254574,1.2356838268133399,1.2333005048456749,1.2348882460465753,1.229226998906466,1.2405484486791967,1.2291142985762666,1.2332398962778748,1.2360132298620183,1.2233048489093643,1.2348938660564401,1.228646353346201,1.2324773147066543,1.2383435199278439,1.2325154562398501,1.2352502034388149,1.2393846283877363,1.2334071319316084,1.2316659122856402,1.2304830651422638,1.225808912266857,1.2318992530301194,1.2274141887496075,1.2405622570282853]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
15000,15000,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08246238617051266,6.0,7.102221062787878,9.959062823422148,0.8506353398876267,0.8549340333000979,9.0,1.0182339080576297,1,"[1.0182339080576297]","[9.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23234834696942053,4.0,6.065099552870049,2.9912380229910767,9.81542231790183,1.0,0.0,1.4826899491525085,34,"[1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085,1.4826899491525085]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
15000,15000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16823711985613052,3.0,9.851136519708104,2.3984319086833032,10.0,0.9838069562866218,2.0,1.1696615049266554,19,"[1.1574791955520447,1.1710718170075913,1.1660779161379624,1.1679256547940675,1.165695248365455,1.1683893520898374,1.1660633413874082,1.1696615049266554,1.1732862636749761,1.1805137630897184,1.1744618629703132,1.1719339596554939,1.172429525850913,1.1692379903846004,1.1764737324658794,1.1644841350073167,1.161390550638351,1.173096985314182,1.1704982829797754]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11657742660556725,6.0,6.827914817225348,4.991348014383221,1.9811925235952152,0.8916048752871373,6.0,1.0508580675817036,7,"[1.0508580675817036,1.0621554511371596,1.0381815726571813,1.0405194449852728,1.073446513788085,1.0614706907525673,1.0487796433502965]","[6.0,6.0,6.0,6.0,6.0,6.0,6.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24816988526720096,5.0,6.700176856226069,2.618933074783345,10.0,0.9997988014820117,1.0,1.2987942323457244,1,"[1.2987942323457244]","[1.0]"
15000,15000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16491212687580042,3.0,10.0,2.6605192072762858,9.983119680902085,0.9832464936256229,2.0,1.1909158194765217,32,"[1.1908334434153391,1.191466228385758,1.1901431045065194,1.1927150565048334,1.1942370273819487,1.1828727098618983,1.1880109435937762,1.1872154218162847,1.19279631878678,1.1910095380326724,1.1949445201835416,1.1994307205969292,1.196097281572873,1.1824899247641114,1.1836454855367362,1.1909981955377045,1.1908129695312646,1.1833076180563422,1.1852509536542695,1.193631232154221,1.183207416517294,1.1903783188558834,1.1864815968545634,1.1938100222149648,1.1852763045530437,1.19505553569665,1.1852128901845618,1.1914437942365734,1.1981728941477783,1.1931099394242568,1.1971272385004945,1.1883015563075419]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
15000,15000,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.10956012565511306,6.0,7.401543723398162,8.899914667831203,0.7378894356203201,0.8627650897599524,9.0,1.040372917667472,11,"[1.0311754980531584,1.0376173502833663,1.0634516543299979,1.0309443826310798,1.0133159311448083,1.05007670429853,1.040372917667472,1.0441529594145753,1.036099944884203,1.0421193029814761,1.050145162220573]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]"
15000,15000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17138559780380727,3.0,10.0,2.1301806588801147,9.96614756813907,0.9222636238740505,2.0,1.1613723742146274,1,"[1.1613723742146274]","[2.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.10907145370897084,6.0,7.99525707769027,5.698875542457092,1.5134988268143283,0.8472605276092934,6.0,1.0568976215986123,13,"[1.0405505903599561,1.049789672058735,1.0626336486221952,1.0634296755800732,1.0599726949130892,1.0565025467099598,1.048202672605414,1.0580754239525794,1.044092028758301,1.0769432221387634,1.0568976215986123,1.0723172517348518,1.0474909451634593]","[6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09989169175340185,6.0,7.519749886355051,5.5492704640649375,2.879455879857442,0.860351302606869,4.0,1.0929984465647182,15,"[1.0770833033069558,1.0827867228679018,1.0929984465647182,1.0825304021672673,1.0945411425136113,1.0849385154762503,1.1155270363418288,1.0913296319717387,1.099167345638006,1.0949489105490933,1.0873776715057752,1.1060212216256329,1.0986226374912331,1.0763482947753666,1.0940478778201814]","[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]"
