evolution$generation,evolution$evaluated,yt,tdq,twq,tcq,yp,pwm,pet,ai,tcov,bgr,ts,ps,ndvism,ndvif,ndvisp,ndviw,wavai,e,md,mcw,mds,g,subsample,objective$npredictors,objective$error,evolution$samples,error,npredictors
15000,15000,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14541711881096714,5.0,5.8653819499643,4.899168251299723,3.066255702902372,0.8706837762937476,9.0,1.0688583660411435,41,"[1.0699313326612567,1.0670682342499078,1.0798274172265212,1.075172381855749,1.0522089358291258,1.070513260490878,1.0656217451464849,1.069396161750039,1.0619807010114948,1.070279355684677,1.0721321982918017,1.065461854341025,1.0837639638647703,1.0654870165287869,1.0677947991571184,1.0777850686566501,1.0688583660411435,1.0790136916726873,1.0777919770143014,1.0596629117269987,1.065456632101381,1.069460364849616,1.077134633948464,1.062364752790479,1.0689998836962702,1.0724779718863793,1.0593914902488761,1.072352068402017,1.0678631299089691,1.0737077353664268,1.062202326790954,1.0678365914079462,1.063085955638277,1.0635941412858128,1.068457962536722,1.0734301800230166,1.0910476949147805,1.0494107511139685,1.073401687166267,1.0629426943467055,1.0587906551392918]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]"
15000,15000,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.11177057935695534,6.0,1.8993657423520742,9.369587294709383,0.617922762899562,0.6395399941340087,9.0,1.0279317890781154,1,"[1.0279317890781154]","[9.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.10051714090127871,5.0,1.0,8.959834574800832,0.0,0.6489624597462225,8.0,1.0616668711787507,26,"[1.0430345428283276,1.0607044806028512,1.0507834891941976,1.0612312125665238,1.0783285211925802,1.0617656499189096,1.0672213882084816,1.0639225507520367,1.0680564371576455,1.0519600126867585,1.0503945845041556,1.096017331741653,1.0460313015721951,1.046525668068806,1.0615680924385917,1.07786485968794,1.0598577196866075,1.059736499708243,1.0675327798722418,1.0777687689136008,1.0516890365348952,1.0700998123707124,1.053763682112082,1.0723279021570549,1.0626149710178066,1.0620307282536874]","[8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0]"
15000,15000,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.07926266088730499,5.0,1.8954568221718873,10.0,1.9654546523106362,0.74399614449213,12.0,1.0551149222399228,25,"[1.0481230108884327,1.0449993989659527,1.0480462451551085,1.0658713237852862,1.0556235718208669,1.0653332212307822,1.0549391599857767,1.0411522929604753,1.069340431774084,1.0523442902177091,1.065038547387894,1.0554331899851854,1.0379408466429412,1.0686390475863223,1.0501543495175278,1.0568120049850493,1.0614289907198395,1.054388882733424,1.0692712113688805,1.0551149222399228,1.0436789767067665,1.065220127811679,1.0715211110413116,1.0394110878675051,1.0537378916393345]","[12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0]"
15000,15000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.08304362198146165,5.0,1.0,10.0,0.5272018936447588,0.7613722825131164,9.0,1.0342286540604033,2,"[1.028770080864495,1.0396872272563114]","[9.0,9.0]"
15000,15000,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.11462386490777184,5.0,1.0,9.088548112833701,0.0,0.7373527707835,10.0,1.059596672599746,24,"[1.0442971210767085,1.052208997283111,1.0606324351338927,1.0449482508342038,1.0531989879758181,1.06070890433469,1.0654454687978412,1.0498438065064701,1.038073613572608,1.0696506352783437,1.0652116423667575,1.0734581567521992,1.0550240785688672,1.0508815042204298,1.0615644136502618,1.0682385039837532,1.0638050679314464,1.0572256605113395,1.067438450293257,1.0617073676523503,1.0551463760897473,1.0391324472513825,1.0585609100655993,1.0650065107758058]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28743244250448646,5.0,6.328008901936594,8.43551672455989,4.652383223783241,0.9366794540820048,1.0,1.3850754734906219,30,"[1.383308757414434,1.3849365846149917,1.3833997429809355,1.381908504843361,1.3864346794297324,1.3814511296638559,1.386118240677392,1.3859821372174825,1.38551687903995,1.3825449191505323,1.384891182901148,1.3860032352689604,1.3821236671727537,1.382597539396014,1.3876920493603202,1.3849298826766772,1.3826193039777057,1.3829773392411906,1.3875705510379004,1.38762414100437,1.385779364333181,1.3848367669013804,1.3816246072712042,1.3867164579438618,1.384137932400519,1.3886036867052096,1.385214362366252,1.3864609870154374,1.3865770413917378,1.3876930673513983]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805652220563833,6.0,10.0,3.952056715533562,9.825513905759953,0.9871689327979016,1.0,1.319867369564906,24,"[1.3188282031970544,1.325619031377752,1.3285234247530249,1.3192765693589825,1.3193347008910794,1.318474938420188,1.3219003341857751,1.3250551623403206,1.3217057205726273,1.3182545905329355,1.3206820437358273,1.3192518349753155,1.3194959521563816,1.321989723241934,1.3202387869734302,1.321152045060735,1.3223043653457238,1.3186704232682227,1.3164757699080558,1.323364714777035,1.3161125937799478,1.3099458785376132,1.3230137287042578,1.3193297092323486]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08768590999035038,6.0,5.958621414583941,3.4818407711533608,0.3226408539204814,0.9002255935785474,5.0,1.0699531920380778,6,"[1.0691636968138936,1.0682913168654191,1.070742687262262,1.0927430699710274,1.0772466023678953,1.0632638897641882]","[5.0,5.0,5.0,5.0,5.0,5.0]"
15000,15000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20630841514447543,4.0,6.707112003186654,3.1623934658649433,5.563494925028801,0.9075522876582903,2.0,1.2660785110552895,37,"[1.263748458351578,1.2757757983817055,1.2752058184592756,1.2643889855585175,1.2688329170209012,1.256464437356711,1.2595801681504508,1.273154491457617,1.2722412565027708,1.2551636445449652,1.269504525068115,1.2692769904685686,1.2737519466528415,1.261849800878768,1.2465134457696005,1.266789976390061,1.2662878559823922,1.2424778153381324,1.2636976995633016,1.259141000555704,1.2631479514335588,1.2674675368968678,1.2681059794525518,1.2544763813330768,1.264265155975825,1.282876490936798,1.278582468462319,1.2629100552340269,1.2563252174636579,1.2692441647768415,1.2716273066289956,1.2583646815421043,1.270883818440057,1.2660785110552895,1.251941381162085,1.268155563273735,1.2591955206513528]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
