evolution$generation,evolution$evaluated,yt,tdq,twq,tcq,yp,pwm,pet,ai,tcov,bgr,ts,ps,ndvism,ndvif,ndvisp,ndviw,wavai,e,md,mcw,mds,g,subsample,objective$npredictors,objective$error,evolution$samples,error,npredictors
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.21536619760281292,3.0,3.805824157867625,2.9041125097031877,8.44867047456442,0.8994040638306426,4.0,1.2186646402942887,39,"[1.2131831867715004,1.2115296139284986,1.216831366541664,1.2126314059579184,1.2163896332741355,1.2174050405950958,1.220242248316893,1.2318571403994207,1.1999671856566212,1.2085808634677213,1.2175707376193194,1.2144835130668963,1.2156976602759386,1.2360933684530244,1.2282533155564042,1.2223304893890452,1.2129437041038733,1.2326892819222874,1.2195523583604084,1.2217090130223451,1.2205635778720718,1.2223728028198504,1.2215449302463977,1.2186646402942887,1.2066104146458427,1.2203673109904543,1.2156176219455561,1.215190563769807,1.223505263913469,1.2146547181581244,1.2209605737826628,1.2189306176922106,1.2188231647389662,1.2166799676938687,1.2070479561400103,1.214366789661364,1.2213232847745903,1.2301944045349271,1.220135645850727]","[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05899371769499697,6.0,5.1495899747686575,8.124235959721124,2.012072951831993,0.853288959903235,8.0,1.0319219097566985,1,"[1.0319219097566985]","[8.0]"
15000,15000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13858800062071866,4.0,4.013219063680761,0.5783005508934551,9.104382780578467,0.7996785202414648,2.0,1.1710768751123874,1,"[1.1710768751123874]","[2.0]"
15000,15000,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0778411346556291,5.0,4.2234831190773185,6.825928219198161,0.1902974412635916,0.9572869315746693,11.0,1.0719495391344414,31,"[1.0749478750887687,1.0553344884048463,1.0841290664828347,1.0579029386529224,1.0692864457498445,1.072118312288135,1.067588854221358,1.0651044745216574,1.0653463017544258,1.0603440455951347,1.0721609688437448,1.075200839315172,1.0592712780587408,1.0790901517594835,1.0821914961729773,1.0572302810459138,1.0602784846546702,1.0600289299990906,1.0800334971491687,1.0809088111425664,1.066754540402987,1.0733198473398755,1.0811822012864618,1.0719495391344414,1.0776453836066875,1.0582335833863499,1.0798687445325514,1.0788742068232682,1.0724981803111462,1.049308728421271,1.049645184044267]","[11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0580932024045664,6.0,9.547399389938303,1.8061091808051144,1.3255401548713022,0.9297036154361686,6.0,1.052592728679286,3,"[1.0505023726651506,1.052592728679286,1.0599421928403356]","[6.0,6.0,6.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13494483067467025,6.0,9.97990966916907,1.290183584799984,0.0,0.9109773466478168,5.0,1.0799452679896229,24,"[1.0793253002371501,1.0943026712662836,1.0642229082448513,1.1119163608085034,1.103349185423148,1.0854386051539484,1.0780441593285501,1.0750138991091451,1.0968443082423551,1.0772517684985237,1.0847516003609088,1.0957878640254695,1.076536822887641,1.0671653893811528,1.071008274709677,1.0795865176457586,1.0846550785502478,1.0696638133244918,1.080304018333487,1.0710167587485564,1.0857701329240448,1.084262041139738,1.0776191499009677,1.0956303716630775]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10682733706589183,6.0,4.495019757357326,7.026145787978285,1.6651408314251155,0.8505502147117998,8.0,1.0372910194862874,4,"[1.0398882589572014,1.0300140492363237,1.0346937800153735,1.0498487211367238]","[8.0,8.0,8.0,8.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.22417200310190355,3.0,5.07976937840469,2.660660116606539,8.683430735079478,0.8543175429684049,3.0,1.2752110060731114,29,"[1.2780336643741266,1.2830558755114843,1.2900370228079436,1.279993990117803,1.2769923833151247,1.292722751717816,1.2734752019304938,1.2629782620558576,1.2924188883675778,1.28013246763197,1.2894709561532012,1.2901404349817465,1.2697651924491844,1.2767726928943477,1.275052040681472,1.2654438905821346,1.2737296468332897,1.2909678315473523,1.2750738304224556,1.2709569947340456,1.267783571863931,1.274802507674061,1.272152123420127,1.2752110060731114,1.2855613525508383,1.270139926795417,1.2594129793298783,1.264626527003053,1.2895019358480213]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05410748381053367,6.0,9.75426225395264,1.8652749875331187,1.3140782117871828,0.9146292388998425,5.0,1.0598893575589856,7,"[1.0598893575589856,1.0572714478779504,1.0817130413017892,1.0699465059993736,1.0748827179250973,1.058621479570952,1.0583162171449996]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]"
15000,15000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1454187627167294,3.0,3.5854620985352392,0.41262371916822804,10.0,0.8353484601909367,2.0,1.2448407148516507,28,"[1.2466391988385805,1.2446207308888542,1.2423357578960004,1.237955381231203,1.2440323448924808,1.2334362717447953,1.2435637849814531,1.245934190191488,1.2475443020417445,1.2537595109173576,1.2418265798523858,1.2446394015207067,1.2469161235437967,1.2403635146384286,1.243201440738722,1.2418611661335344,1.2502631116696379,1.2466831390774888,1.2370236688486047,1.2465299958710883,1.2450420281825945,1.242122147925291,1.2462646860683644,1.2491464913833088,1.2533395705714367,1.2441446585320357,1.245852776303415,1.2513024140859539]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1699841613880369,6.0,4.698274524196695,7.3523316583683975,8.969209329104036,0.8673897599709002,1.0,1.3304322891099347,29,"[1.3255739515798548,1.330865881536898,1.3359989185112644,1.3267475916823122,1.332777879679706,1.3287603509744623,1.3296147940088292,1.3394302415974026,1.3264009011501543,1.326852219644363,1.3286175973002392,1.3226023722596116,1.3308870317234807,1.3324102157717745,1.3352427087045295,1.316130940974923,1.3371912086293947,1.3353214010880106,1.329815671766128,1.3241990430143504,1.3347956894566542,1.3255130565263828,1.335563735653639,1.3304322891099347,1.3264165588067998,1.3305595819454334,1.3224369130814195,1.3327798747166102,1.339799579749569]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
