evolution$generation,evolution$evaluated,yt,tdq,twq,tcq,yp,pwm,pet,ai,tcov,bgr,ts,ps,ndvism,ndvif,ndvisp,ndviw,wavai,e,md,mcw,mds,g,subsample,objective$npredictors,objective$error,evolution$samples,error,npredictors
15000,15000,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17625719861256123,6.0,4.186991957998217,6.041691867893421,2.239921288680712,0.7194236854739471,9.0,1.0674099043076444,38,"[1.064566044049214,1.0643945788737,1.0793585362711933,1.0651280119549835,1.0582960841904956,1.0608750156781193,1.0821232382880617,1.0615634885071386,1.0697400804133554,1.0801177323797977,1.0896515170632146,1.0695806877128793,1.0743212790322698,1.0854530162137084,1.060846748223946,1.0578267836104547,1.0772940772212962,1.0604348704670303,1.0685321232344014,1.050920613845761,1.0584935112151137,1.0934594614002027,1.07587747030082,1.0630060644861594,1.0554595023450368,1.0714027515168758,1.051871586392646,1.0757709599114893,1.0779632083055333,1.0761585042667772,1.0835578040787968,1.0739563889655868,1.061889049193475,1.0662876853808874,1.0551412527920683,1.0847769780928864,1.0553044319106342,1.0618869230834924]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]"
15000,15000,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0729234329097446,6.0,5.387081661438301,5.437575087414146,1.4451714459651495,0.7578575785714268,6.0,1.0189995899786122,1,"[1.0189995899786122]","[6.0]"
15000,15000,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07175450448597437,6.0,8.117247330461616,9.460640565176279,2.431222150680168,0.6032753227586736,12.0,1.0658478995317173,27,"[1.0613744780834922,1.0715540671402597,1.049515282948248,1.0666002879105683,1.0594464842737519,1.0643983799182775,1.0639074277234433,1.0822316217407575,1.0808443113707256,1.0837503821882004,1.0658478995317173,1.0509988779802266,1.0818552126308436,1.0636163074311225,1.0622176669441703,1.0820189934239903,1.0796967021575141,1.0673430547867384,1.0728371217828172,1.0745440083653537,1.0644447615793295,1.054381854110717,1.0766475733393595,1.0585444543444713,1.0648156583783313,1.0752972597364898,1.0652928033086015]","[12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379437973874393,5.0,8.619667404720964,9.997385009389111,9.345112326325337,0.8446476617801522,1.0,1.3023487175629067,1,"[1.3023487175629067]","[1.0]"
15000,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163197916475323,5.0,9.419683628507707,10.0,9.687749013997246,0.835542222738823,0.0,1.484301982160008,26,"[1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008,1.484301982160008]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
15000,15000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16856575243137004,4.0,9.179452886115357,9.741557461651944,8.527587681184732,1.0,2.0,1.2102879838371867,23,"[1.208695152648858,1.2115410147871253,1.2031335142849313,1.2170751097699362,1.2070734833743095,1.2091299992718492,1.209099344439987,1.2103930585498586,1.211150641348904,1.2137512247142772,1.2102879838371867,1.2124982324085678,1.2049444379920173,1.2186990935294155,1.2069719209764278,1.207495288371454,1.2059405842013715,1.2142443954666036,1.203506347868515,1.2193514630222668,1.2216253375276351,1.2050093374791089,1.2194091754508523]","[2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10235358177148755,6.0,6.139648589540183,8.634115240735703,4.133970458766894,0.7298438932037591,6.0,1.0573120374949885,16,"[1.0522349267489712,1.0520168597245094,1.0571113383704562,1.0640493201466534,1.0589718146214775,1.0572418821015286,1.040746906797124,1.059340474820842,1.05103430164127,1.0676063355179681,1.0674347699724007,1.0573821928884484,1.0640076517543857,1.0784236527799915,1.0526445938367242,1.0468884847155657]","[6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1530684624277137,6.0,4.242210993504865,4.730251937158777,3.0337944296098662,0.6657649239849115,7.0,1.0670744910495853,26,"[1.0617595808095013,1.0649490910628192,1.0819839251773862,1.0495166684532762,1.0677816507298954,1.0571446813698056,1.0766113971958942,1.0641216028767606,1.0719165614996171,1.076668503988294,1.069015157863714,1.0650678317205955,1.0709552901838468,1.0756431096689838,1.066767523350532,1.0662619121623331,1.0707625264868197,1.0639049212681944,1.0704914194627644,1.0485025128468308,1.0752033485303554,1.0662666409927624,1.0402279451932253,1.0723046528086084,1.0653594587078612,1.0673814587486388]","[7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09606339246029381,6.0,4.465248527246506,5.683704649942515,3.4024667011484304,0.7859963139829886,4.0,1.085206775846285,3,"[1.0767711666117552,1.0907376294905966,1.085206775846285]","[4.0,4.0,4.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06640107541723576,6.0,5.547034598572132,10.0,0.10591135785079073,0.7350380096026905,6.0,1.0382747505007557,5,"[1.037353767136368,1.050633319709427,1.0382747505007557,1.0598571103719077,1.0276141729168633]","[6.0,6.0,6.0,6.0,6.0]"
15000,15000,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06721973130152385,6.0,5.633315144688878,10.0,0.2230383886186921,0.7350418864085371,6.0,1.041204050626577,8,"[1.029299858798287,1.041093818593242,1.0375483273350325,1.0437147144539554,1.041314282659912,1.0586393477479876,1.0489736094605155,1.0358439100211538]","[6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0]"
15000,15000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17188451930865384,5.0,9.435071504100215,9.531283086567173,7.546222682994156,0.805107722195353,3.0,1.1889195917993816,32,"[1.1870636235076524,1.1972826533495171,1.198441332556579,1.187484734544835,1.1958557145086868,1.177904100570157,1.1910984938052884,1.187734591554902,1.1876856284184565,1.1970487574571043,1.187380614224109,1.1999260008731008,1.1998931793158623,1.189954222306722,1.190981069735074,1.1912064284687471,1.1911564348863668,1.1891248636217193,1.1928246162218978,1.1760993380031333,1.1744694076319984,1.1846985614424033,1.1849438631777471,1.1827197240519074,1.1968044582521102,1.1781201476628231,1.1849494440608914,1.1901453619060298,1.1874133810260086,1.1873476742796456,1.1887143199770438,1.1902476522926237]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]"
