,foldId,predictors,mape,mae,msd
0,2,1.0,170.42750359766558,71.79938698812214,49.76276617414605
1,2,2.0,138.79164399228122,64.5811760982728,42.99628589006827
2,2,3.0,106.25420309558693,55.10691215526462,35.780913177229046
3,2,4.0,90.46112367497098,49.37708059514195,31.968780858414448
4,2,5.0,47.45940084269657,26.034034592105986,16.093823823429233
5,2,6.0,49.71775690221251,28.20986551869432,17.612387373572247
6,2,7.0,46.24778374847555,28.04906918844785,17.737148241156564
7,2,8.0,41.57204185520945,24.14577885443678,14.786811413038285
8,2,9.0,49.047700169587216,28.916913577254046,18.052574531191812
9,2,12.0,41.755129848721786,22.284893617056063,13.068452896345171
10,2,11.0,41.17155812740861,21.955651956309925,13.100509032135857
11,2,10.0,30.832538729936083,16.477552664601685,9.495069672902368
12,7,1.0,225.42689734662056,66.16158173494611,40.16979853451196
13,7,2.0,176.20919187624636,61.18513681586776,36.22239888115144
14,7,3.0,129.13593462616865,52.073746754258245,31.08463395899228
15,7,4.0,109.07052261825633,46.63985889787763,27.796083870486736
16,7,5.0,59.276913686966935,27.212552061107395,16.648669293265293
17,7,6.0,62.04269711091115,30.306575086625863,18.51431473901473
18,7,7.0,53.61275054480685,29.42240158137261,18.868413196077043
19,7,8.0,53.175581252740265,27.008891206943066,17.122664948861907
20,7,9.0,62.51232142499119,31.121289102077117,18.988213326841212
21,7,12.0,56.72660005911542,25.09865165032793,15.378396388737892
22,7,11.0,49.825311698503114,24.48714540430819,15.716653204688207
23,7,10.0,40.864407789401255,20.009763352852982,12.818281569605253
24,5,1.0,146.41372594008757,68.7529129800431,49.94976073877154
25,5,2.0,104.23944715189725,59.00340492034523,44.62317076038784
26,5,3.0,76.5460680602282,49.376944762577004,36.46843417014517
27,5,4.0,65.21019991616785,47.00648641261972,35.77860870670742
28,5,5.0,32.67096289242174,27.345151500273193,20.930859173653783
29,5,6.0,34.13864997807938,29.579110222731675,21.477013716965075
30,5,7.0,31.551728869978323,29.49008987485362,21.78447851930163
31,5,8.0,29.70326337487515,26.76388104096228,20.002408593525132
32,5,9.0,34.273337381744504,30.203843365078274,22.84794843463454
33,5,12.0,26.78484395183982,24.273612723096193,17.869175997133443
34,5,11.0,25.98900394494908,24.13896563913965,18.05118363255839
35,5,10.0,21.00409467726218,19.928040335168436,15.290891403734028
36,10,1.0,166.98485642516025,60.4663812675704,43.89633564154602
37,10,2.0,110.48328571838894,55.520370100393336,37.20872747660454
38,10,3.0,80.41529139887325,46.20174850855015,31.985538673736944
39,10,4.0,65.52153761345433,41.40162290154937,28.64320005747429
40,10,5.0,33.65277352357647,21.279684091581053,14.246053993823852
41,10,6.0,36.725609532011696,23.163354568385696,15.57515078795227
42,10,7.0,33.7402338833734,22.898540024957725,14.761604218904695
43,10,8.0,30.55712364502775,20.901122450760045,13.569742112581455
44,10,9.0,35.5260809004326,24.28708133502081,15.476865773908244
45,10,12.0,27.689406080081653,18.671556118465325,11.823897746987537
46,10,11.0,27.29662568906403,18.082271121487814,11.29672341123369
47,10,10.0,20.822737599165936,13.466885414087432,8.16554646268633
48,4,1.0,141.43187936689466,67.76602479526768,48.49431757856288
49,4,2.0,103.06090301696133,61.57742960437671,44.52947578416289
50,4,3.0,87.7616784384743,51.487610565269016,35.85069886715943
51,4,4.0,70.79886134306092,46.74657121237003,33.946391643657776
52,4,5.0,38.98377382538177,27.712104969053257,19.675366045608616
53,4,6.0,45.30171986181822,29.813891084900753,21.49860654714866
54,4,7.0,40.10085532716396,30.37722720806318,20.6123232445577
55,4,8.0,36.91328370995674,27.19300307214357,18.937438035440085
56,4,9.0,37.93484201939101,30.3749283901123,21.526458778696608
57,4,12.0,32.38156398163684,24.617826278622676,16.694147091681256
58,4,11.0,32.80487424099483,24.258043807139025,16.43419078290767
59,4,10.0,27.195942727187756,19.58130696859326,12.899688439854762
60,8,1.0,214.4357875859559,68.66074065083743,46.87630990398883
61,8,2.0,125.1724152431128,58.3257951596061,42.46211473190167
62,8,3.0,90.26580152039033,48.42865949520382,34.696408860890706
63,8,4.0,74.08121639296851,43.391345995401245,29.78347816101116
64,8,5.0,44.30043696615451,26.080140199944793,15.124340810654656
65,8,6.0,51.27711119797704,28.123984021055836,15.549801608952471
66,8,7.0,42.9738291781727,25.965057130841366,14.63091658494455
67,8,8.0,41.82925854250133,24.508278461582893,13.120412736074904
68,8,9.0,46.789215916080536,27.349192453942248,15.340038481779692
69,8,12.0,41.08007633158773,22.721165912243787,12.203500118991109
70,8,11.0,44.00081464558333,21.608577375414505,11.525677066556245
71,8,10.0,36.25138639544438,18.188250751827926,8.675204550627715
72,9,1.0,201.7631851523694,75.37594062094735,55.59058731617486
73,9,2.0,121.64452725909673,66.44417807479198,47.99871356760114
74,9,3.0,85.89175861247409,55.050962215982615,38.417233475683844
75,9,4.0,65.0762699217917,48.99028603314568,35.155498093489555
76,9,5.0,32.28712393757817,26.65423815732393,19.17797966347641
77,9,6.0,34.89524663054432,28.865561254595267,20.818217406031767
78,9,7.0,31.42889647548202,27.37185797754952,18.31939194161179
79,9,8.0,28.010243918768634,24.247292218446717,17.304364749787247
80,9,9.0,33.592400952500626,28.062233977463784,19.652810630699985
81,9,12.0,25.10408183099322,21.598305537338323,14.378578710000827
82,9,11.0,25.368119017503954,21.161057948616055,13.752809221888885
83,9,10.0,19.87506645094306,16.47779979365726,11.386995792404774
84,3,1.0,124.29192966412937,70.59894674089155,55.5296127639575
85,3,2.0,142.1888026395451,68.15175244215627,47.979443168307235
86,3,3.0,94.34826937395707,54.54496680510623,40.214490179455595
87,3,4.0,77.10401947163668,48.13235705863264,36.11312417610121
88,3,5.0,36.675646704497595,25.411771074824266,18.92403099929353
89,3,6.0,42.09057772703114,28.04373160456949,20.853106047376883
90,3,7.0,35.93673361370313,27.922623696637277,20.921417102878188
91,3,8.0,34.48473188490488,24.587067214517724,18.69164164430389
92,3,9.0,39.839171244209346,28.689951317010962,21.272908618003733
93,3,12.0,30.796833289035686,21.682217013596272,15.69205873206318
94,3,11.0,29.068864019691464,21.415538888862837,16.284416956511883
95,3,10.0,25.42199834080331,17.167928484419377,12.462768828535966
96,6,1.0,187.43281950948,69.647274819094,45.44221243177688
97,6,2.0,144.87834873400914,63.32649191211185,42.37429755752301
98,6,3.0,102.21708330751234,51.596002005400806,36.23174939902586
99,6,4.0,79.3742511907961,45.95136651276513,31.91084027009439
100,6,5.0,35.23803982123995,25.46001122271492,16.645988665701253
101,6,6.0,40.47627497847914,28.527134671274794,19.50709301559141
102,6,7.0,33.59305070426126,27.488394921437322,19.850967791312335
103,6,8.0,31.20171476058493,24.78846207203122,16.688161200438298
104,6,9.0,37.00649479967018,27.950665068841975,19.406269551797408
105,6,12.0,27.252670050691975,22.82403268366636,15.988991516125282
106,6,11.0,26.253548237007085,22.465587931531324,15.872679797521474
107,6,10.0,21.651331855938786,18.042561370116832,11.748602280406043
108,1,1.0,152.58583940229548,62.095332818096416,44.39715852649517
109,1,2.0,107.52214512862257,56.20027308752103,39.86128255608614
110,1,3.0,78.78448528523337,45.16424958602639,31.854918673181178
111,1,4.0,72.79852834533492,42.52760295896464,28.688730120915103
112,1,5.0,41.34992734991844,23.58714240422633,15.287762108559486
113,1,6.0,43.922644087467994,25.464767991173566,17.235581954576503
114,1,7.0,39.94600561405585,24.222381821422378,15.854532203760252
115,1,8.0,42.045365073321896,22.636658704421503,15.005013582508555
116,1,9.0,46.76594576100454,25.65413342971023,16.751814192505897
117,1,12.0,36.41138133656756,20.91564047191722,13.978566944855386
118,1,11.0,32.36261784843848,20.091375866907907,12.906207537623464
119,1,10.0,32.18677011319453,15.985902193571668,10.398332739416407
